Unnamed: 0,levy,manufacturer,year,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,turbo,price
3,862.0,Ford,2011,Jeep,1,Hybrid,2.5,168966,4.0,Automatic,4x4,4-5,Left wheel,White,0,0,3607
4,446.0,Honda,2014,Hatchback,1,Petrol,1.3,91901,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,11726
5,891.0,Hyundai,2016,Jeep,1,Diesel,2.0,160931,4.0,Automatic,Front,4-5,Left wheel,White,4,0,39493
6,761.0,Toyota,2010,Hatchback,1,Hybrid,1.8,258909,4.0,Automatic,Front,4-5,Left wheel,White,12,0,1803
7,751.0,Hyundai,2013,Sedan,1,Petrol,2.4,216118,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,549
15,1079.0,Toyota,2018,Jeep,1,Petrol,2.0,74146,4.0,Automatic,Front,4-5,Left wheel,White,12,0,549
16,810.0,Hyundai,2016,Sedan,1,Petrol,1.8,121840,4.0,Automatic,Front,4-5,Left wheel,Blue,12,0,7683
17,810.0,Hyundai,2016,Sedan,1,Petrol,1.8,54317,4.0,Automatic,Front,4-5,Left wheel,White,4,0,28382
20,531.0,Hyundai,2012,Sedan,1,Petrol,1.6,112645,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,18826
21,586.0,Toyota,2012,Sedan,1,Other,1.8,187000,4.0,Automatic,Front,4-5,Left wheel,White,12,0,20698
22,1249.0,Toyota,2017,Sedan,1,Petrol,2.5,39709,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,17562
28,583.0,Hyundai,2011,Sedan,1,Petrol,1.6,158787,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,14454
35,707.0,Hyundai,2011,Jeep,1,Diesel,2.0,162000,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,23235
38,531.0,Hyundai,2012,Sedan,1,Petrol,1.6,103490,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,19121
40,751.0,Toyota,2013,Sedan,1,Petrol,2.4,203200,4.0,Automatic,Front,4-5,Left wheel,Blue,4,0,24462
41,1091.0,Hyundai,2016,Universal,1,Diesel,2.5,61057,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,45734
43,382.0,Hyundai,2014,Sedan,1,Hybrid,2.4,141000,4.0,Tiptronic,Front,4-5,Left wheel,White,12,0,21326
50,891.0,Honda,2016,Sedan,1,Petrol,2.0,87768,4.0,Automatic,Front,4-5,Left wheel,Blue,4,0,34889
53,1017.0,Mercedes-Benz,2017,Sedan,1,Petrol,2.0,1600,4.0,Automatic,Rear,4-5,Left wheel,Black,12,0,392
57,629.0,Nissan,2015,Jeep,1,Petrol,1.6,87112,4.0,Automatic,4x4,4-5,Left wheel,Black,0,0,1411
62,530.0,Nissan,2013,Jeep,1,Petrol,1.6,312118,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,7213
64,640.0,Hyundai,2013,Jeep,1,Diesel,2.0,200279,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,20526
66,777.0,Hyundai,2014,Minivan,1,Diesel,2.5,154672,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,34657
67,1091.0,Hyundai,2016,Minivan,1,Diesel,2.5,110969,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,36564
68,779.0,Toyota,2013,Sedan,1,Hybrid,2.5,225510,4.0,Automatic,Front,4-5,Left wheel,White,12,0,314
70,934.0,Hyundai,2015,Universal,1,Diesel,2.5,148105,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,30063
71,769.0,Chevrolet,2011,Jeep,1,Diesel,2.2,255456,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,15800
72,1249.0,Hyundai,2017,Universal,1,Diesel,2.5,111643,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,43952
79,1185.0,Ford,2009,Jeep,1,Hybrid,2.5,193614,4.0,Automatic,Front,4-5,Left wheel,White,0,0,220
81,830.0,Toyota,2019,Sedan,1,Petrol,1.5,27656,4.0,Automatic,Front,4-5,Left wheel,White,12,0,7527
85,531.0,Hyundai,2012,Sedan,1,Petrol,1.6,121362,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,19121
86,639.0,Hyundai,2014,Jeep,1,Diesel,2.0,69191,4.0,Automatic,Front,4-5,Left wheel,White,4,0,36065
87,1111.0,Honda,2012,Hatchback,1,Hybrid,1.3,83000,4.0,Tiptronic,Front,4-5,Right-hand drive,Other,12,0,8781
88,760.0,Chevrolet,2010,Sedan,1,Petrol,1.8,40772,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,6247
89,642.0,Chevrolet,2012,Jeep,1,Diesel,2.0,172000,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,16289
92,781.0,Other,2012,Jeep,1,Petrol,2.5,148213,4.0,Automatic,4x4,4-5,Left wheel,Blue,0,0,549
93,1095.0,Other,2008,Sedan,1,Petrol,2.0,103246,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,6981
99,966.0,Hyundai,2009,Other,1,Petrol,2.0,123346,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,15458
100,473.0,Chevrolet,2014,Sedan,1,Petrol,1.4,80827,4.0,Automatic,Front,4-5,Left wheel,Other,12,0,2901
102,382.0,Ford,2015,Sedan,1,Hybrid,2.0,91760,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,314
112,1091.0,Hyundai,2016,Universal,1,Diesel,2.5,86000,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,44752
113,687.0,Hyundai,2010,Sedan,1,Petrol,1.6,122740,4.0,Automatic,Front,4-5,Left wheel,White,4,0,17158
118,640.0,Ssangyong,2013,Jeep,1,Diesel,2.0,85704,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,25591
119,836.0,Hyundai,2010,Jeep,1,Diesel,2.0,58962,4.0,Automatic,Front,4-5,Left wheel,White,4,0,14897
120,779.0,Toyota,2013,Sedan,1,Hybrid,2.5,90000,4.0,Tiptronic,Front,4-5,Left wheel,White,12,0,23521
122,777.0,Other,2014,Sedan,1,Petrol,2.5,0,4.0,Automatic,Front,4-5,Left wheel,Other,12,0,706
124,765.0,Ford,2015,Sedan,1,Petrol,2.0,71454,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,16935
125,781.0,Toyota,2012,Sedan,1,Petrol,2.5,0,4.0,Tiptronic,Front,4-5,Left wheel,Black,6,0,19444
126,639.0,Hyundai,2014,Sedan,1,Other,2.0,346470,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,11604
128,394.0,Toyota,2014,Sedan,1,Hybrid,2.5,115312,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,706
130,1347.0,Hyundai,2008,Minivan,1,Diesel,2.5,74444,4.0,Automatic,Front,4-5,Left wheel,Other,4,0,13328
134,862.0,Hyundai,2011,Minivan,1,Diesel,2.5,124444,4.0,Automatic,Front,4-5,Left wheel,Other,4,0,22894
135,503.0,Honda,2012,Sedan,1,Hybrid,1.5,146403,4.0,Automatic,Front,4-5,Left wheel,White,0,0,2901
