Unnamed: 0,levy,manufacturer,year,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,turbo,price
145,609.0,Toyota,2018,Sedan,1,Hybrid,2.5,35058,4.0,Automatic,Front,4-5,Left wheel,White,12,0,18817
7092,475.0,Other,2012,Other,1,Petrol,1.4,81050,4.0,Automatic,Front,2-3,Left wheel,Other,4,0,12855
11984,831.0,Hyundai,2011,Sedan,1,Hybrid,2.4,108826,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,188
1354,777.0,Hyundai,2014,Minivan,1,Diesel,2.5,146216,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,30750
13149,584.0,Other,2014,Sedan,1,Petrol,1.8,152582,4.0,Automatic,Front,4-5,Left wheel,Silver,12,0,706
13343,394.0,Toyota,2014,Sedan,1,Hybrid,2.5,179381,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,11133
1460,986.0,Other,2010,Jeep,1,Petrol,2.4,140000,4.0,Automatic,Front,4-5,Left wheel,Other,4,0,19281
11139,781.0,Other,2012,Sedan,1,Petrol,2.5,174552,4.0,Automatic,Front,4-5,Left wheel,Other,12,0,784
15178,1017.0,Mercedes-Benz,2017,Jeep,1,Petrol,2.0,44477,4.0,Automatic,Front,4-5,Left wheel,Blue,0,0,2509
1634,790.0,Chevrolet,2009,Sedan,1,Diesel,1.6,38254,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,8947
11130,1047.0,Hyundai,2007,Sedan,1,Petrol,1.6,184297,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,8097
11043,640.0,Ford,2013,Sedan,1,Petrol,2.0,116800,4.0,Tiptronic,Front,4-5,Left wheel,Black,8,0,14113
1886,751.0,Other,2013,Sedan,1,Petrol,2.4,146552,4.0,Automatic,Front,4-5,Left wheel,Silver,12,0,4704
6597,639.0,Ssangyong,2014,Jeep,1,Diesel,2.0,75661,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,25591
11868,1325.0,Nissan,2019,Jeep,1,Petrol,2.5,30555,4.0,Automatic,Front,4-5,Left wheel,Silver,12,0,706
14771,530.0,Hyundai,2013,Sedan,1,Petrol,1.6,83897,4.0,Automatic,Front,4-5,Left wheel,White,4,0,27654
832,640.0,Hyundai,2013,Jeep,1,Diesel,2.0,80758,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,31913
11355,746.0,Toyota,2009,Sedan,1,Hybrid,1.5,142426,4.0,Automatic,Front,4-5,Left wheel,White,12,0,1882
751,474.0,Other,2013,Other,1,Petrol,1.4,70000,4.0,Automatic,Front,2-3,Left wheel,Blue,6,0,13172
14115,831.0,Hyundai,2011,Jeep,1,Petrol,2.4,179746,4.0,Automatic,Front,4-5,Left wheel,White,0,0,392
9872,645.0,Toyota,2011,Sedan,1,Hybrid,1.8,63500,4.0,Automatic,Front,4-5,Left wheel,Silver,0,0,15681
5143,431.0,Ford,2016,Sedan,1,Hybrid,2.0,194974,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,8781
11421,474.0,Other,2013,Jeep,1,Petrol,1.4,107054,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,4391
17268,629.0,Hyundai,2015,Sedan,1,Petrol,1.6,75000,4.0,Automatic,Front,4-5,Left wheel,White,4,0,20526
7750,891.0,Hyundai,2016,Sedan,1,Other,2.0,292837,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,11290
10523,1282.0,Chevrolet,2007,Jeep,1,Diesel,2.0,55790,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,4077
17087,781.0,Chevrolet,2018,Other,1,Petrol,1.4,87568,4.0,Automatic,Front,4-5,Left wheel,White,12,0,470
19021,530.0,Hyundai,2013,Sedan,1,Petrol,1.6,78633,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,19121
8031,642.0,Kia,2012,Sedan,1,Petrol,2.0,65514,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,11541
5308,609.0,Honda,2016,Universal,1,Petrol,1.3,16714,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,30602
2232,934.0,Other,2015,Jeep,1,Petrol,2.5,69000,4.0,Variator,4x4,4-5,Left wheel,Silver,12,0,25500
7688,777.0,Toyota,2014,Sedan,1,Petrol,2.5,74000,4.0,Tiptronic,Front,4-5,Left wheel,Grey,0,0,24462
16190,579.0,Toyota,2017,Sedan,1,Hybrid,2.5,91000,4.0,Tiptronic,Rear,4-5,Left wheel,Black,12,0,37633
