iter	RMSE
0	12450.69072
1	12163.31033
2	11901.1802
3	11658.28608
4	11438.28029
5	11194.39754
6	10958.29747
7	10747.42361
8	10594.52137
9	10422.40567
10	10253.86021
11	10102.02437
12	9935.902207
13	9774.204125
14	9629.423431
15	9487.18434
16	9358.581603
17	9245.960103
18	9129.335291
19	9032.503935
20	8913.040282
21	8792.296356
22	8699.433985
23	8621.129652
24	8542.164821
25	8456.872765
26	8385.765299
27	8320.3688
28	8242.599597
29	8175.701035
30	8102.793839
31	8027.323223
32	7958.779138
33	7899.46892
34	7841.851372
35	7801.911284
36	7736.410373
37	7680.368278
38	7626.963225
39	7572.993507
40	7526.270579
41	7481.119384
42	7433.75091
43	7388.318157
44	7351.776905
45	7318.578802
46	7292.27856
47	7255.188412
48	7218.082532
49	7181.836229
50	7149.965791
51	7123.671371
52	7092.18439
53	7059.287058
54	7027.05358
55	7004.451855
56	6978.944597
57	6951.012606
58	6929.794729
59	6906.856243
60	6882.112883
61	6860.584896
62	6838.633283
63	6821.486002
64	6808.351732
65	6785.091608
66	6772.014306
67	6758.15471
68	6739.359437
69	6722.414328
70	6706.757498
71	6695.697929
72	6682.172937
73	6668.255567
74	6657.534625
75	6640.602196
76	6627.48897
77	6616.848531
78	6602.918951
79	6589.059027
80	6578.811832
81	6567.472447
82	6554.008772
83	6544.105814
84	6530.338911
85	6517.604398
86	6507.215414
87	6499.722983
88	6488.154949
89	6476.150972
90	6464.195269
91	6451.758754
92	6446.261154
93	6439.014648
94	6427.039837
95	6413.564465
96	6403.560454
97	6394.848745
98	6385.085083
99	6376.060143
100	6367.123486
101	6357.73236
102	6350.865901
103	6340.012288
104	6333.144199
105	6327.07316
106	6321.12554
107	6313.050036
108	6307.412413
109	6297.352821
110	6291.941272
111	6285.240162
112	6274.311197
113	6267.253465
114	6260.391626
115	6255.390169
116	6247.335727
117	6241.532117
118	6234.237648
119	6228.504538
120	6221.494573
121	6216.776544
122	6212.437355
123	6202.900153
124	6195.65405
125	6188.067679
126	6179.719404
127	6173.809939
128	6164.042704
129	6155.345044
130	6152.436951
131	6147.777039
132	6141.877434
133	6134.822842
134	6130.024368
135	6124.633957
136	6120.993023
137	6116.587905
138	6111.86188
