iter	Passed	Remaining
0	4	2623
1	8	2444
2	13	2774
3	19	2920
4	23	2842
5	28	2819
6	33	2813
7	35	2621
8	37	2431
9	38	2292
10	41	2239
11	44	2174
12	46	2089
13	47	2001
14	49	1936
15	51	1894
16	53	1838
17	55	1779
18	56	1738
19	58	1703
20	61	1694
21	63	1664
22	64	1628
23	66	1602
24	68	1579
25	70	1552
26	72	1541
27	74	1523
28	76	1510
29	78	1489
30	80	1472
31	82	1456
32	83	1439
33	85	1429
34	87	1417
35	89	1402
36	91	1394
37	93	1385
38	95	1373
39	97	1360
40	98	1347
41	100	1334
42	102	1321
43	103	1313
44	106	1310
45	108	1302
46	109	1292
47	111	1285
48	113	1278
49	115	1271
50	117	1264
51	120	1272
52	125	1295
53	128	1303
54	131	1299
55	132	1291
56	134	1281
57	136	1275
58	138	1272
59	140	1266
60	142	1260
61	144	1252
62	145	1244
63	147	1236
64	149	1230
65	151	1224
66	153	1219
67	155	1213
68	156	1207
69	158	1202
70	160	1198
71	162	1191
72	164	1185
73	165	1179
74	167	1175
75	169	1170
76	171	1167
77	173	1163
78	175	1158
79	177	1152
80	178	1146
81	180	1140
82	182	1134
83	184	1130
84	186	1127
85	188	1124
86	190	1123
87	192	1118
88	194	1113
89	195	1110
90	197	1106
91	200	1108
92	202	1104
93	204	1101
94	206	1098
95	208	1095
96	210	1091
97	212	1087
98	214	1083
99	215	1079
100	217	1074
101	219	1072
102	221	1068
103	223	1064
104	224	1059
105	226	1055
106	228	1051
107	230	1048
108	231	1045
109	233	1041
110	235	1038
111	237	1035
112	239	1031
113	241	1028
114	242	1023
115	244	1020
116	246	1017
117	247	1012
118	250	1010
119	251	1007
120	253	1004
121	255	1002
122	257	999
123	259	995
124	261	993
125	263	990
126	264	986
127	266	982
128	269	982
129	271	980
130	273	977
131	274	974
132	276	972
133	278	969
134	280	965
135	282	963
136	284	960
137	285	957
138	287	954
139	289	951
140	291	947
141	293	945
142	294	941
143	296	939
144	298	936
145	301	937
146	303	934
147	304	930
148	306	927
149	308	924
150	309	921
151	311	918
152	313	916
153	315	913
154	317	910
155	319	908
156	320	905
157	322	902
158	324	900
159	326	897
160	328	895
161	330	893
162	335	899
163	341	906
164	345	911
165	349	914
166	353	917
167	355	914
168	357	911
169	359	908
170	361	905
171	362	902
172	364	900
173	366	897
174	368	895
175	370	892
176	372	890
177	374	887
178	376	884
179	378	882
180	380	880
181	386	886
182	391	891
183	393	889
184	394	885
185	396	882
186	398	879
187	399	875
188	401	873
189	403	869
190	404	866
191	406	864
192	408	861
193	410	858
194	412	855
195	414	853
196	416	851
197	417	848
198	419	845
199	421	842
200	423	839
201	424	837
202	426	834
203	429	832
204	430	830
205	432	827
206	434	824
207	436	821
208	437	818
209	439	816
210	441	814
211	443	812
212	445	809
213	447	806
214	449	804
215	451	801
216	452	799
217	454	796
218	456	793
219	458	791
220	459	788
221	462	787
222	464	785
223	467	784
224	468	781
225	470	778
226	472	775
227	474	773
228	476	771
229	477	768
230	479	766
231	481	763
232	483	762
233	485	759
234	487	757
235	489	755
236	491	752
237	496	754
238	499	754
239	504	756
240	507	755
241	508	752
242	510	750
243	512	747
244	514	745
245	516	742
246	518	740
247	519	738
248	522	735
249	524	733
250	526	731
251	527	728
252	529	726
253	531	723
254	533	722
255	535	719
256	537	717
257	538	714
258	540	711
259	542	709
260	544	707
261	546	704
262	547	701
263	549	699
264	552	698
265	555	696
266	558	695
267	559	693
268	561	691
269	563	688
270	565	686
271	567	684
272	568	681
273	570	679
274	572	676
275	575	675
276	579	675
277	582	675
278	585	673
279	587	671
280	588	668
281	590	666
282	592	663
283	594	661
284	596	658
285	597	656
286	599	654
287	601	651
288	603	649
289	605	647
290	607	645
291	609	642
292	611	640
293	613	638
294	615	636
295	617	634
296	619	632
297	621	629
298	623	627
299	625	625
300	627	622
301	628	620
302	630	617
303	632	615
304	634	613
305	636	611
306	638	609
307	639	606
308	641	604
309	643	602
310	645	599
311	647	597
312	649	595
313	651	592
314	653	590
315	656	590
316	659	588
317	661	586
318	662	583
319	664	581
320	666	579
321	667	576
322	672	577
323	675	575
324	677	573
325	679	570
326	681	568
327	683	566
328	685	564
329	687	562
330	689	560
331	690	557
332	693	555
333	696	554
334	700	554
335	706	554
336	707	552
337	711	551
338	717	552
339	719	550
340	721	548
341	723	545
342	724	543
343	726	540
344	728	538
345	729	535
346	731	533
347	733	531
348	735	528
349	737	526
350	738	524
351	740	521
352	742	519
353	744	517
354	746	514
355	748	512
356	749	510
357	751	508
358	753	505
359	755	503
360	757	501
361	759	499
362	760	496
363	762	494
364	764	492
365	767	490
366	769	488
367	771	486
368	772	483
369	774	481
370	776	479
371	778	477
372	780	474
373	782	473
374	784	470
375	786	468
376	788	466
377	790	463
378	791	461
379	793	459
380	795	457
381	797	454
382	799	452
383	801	450
384	803	448
385	804	446
386	806	443
387	808	441
388	809	439
389	811	437
390	813	435
391	815	432
392	817	430
393	819	428
394	820	426
395	822	423
396	824	421
397	826	419
398	828	417
399	830	415
400	831	412
401	833	410
402	835	408
403	836	405
404	838	403
405	840	401
406	842	399
407	844	397
408	846	395
409	848	393
410	850	390
411	851	388
412	853	386
413	854	384
414	856	381
415	858	379
416	861	377
417	862	375
418	864	373
419	866	371
420	868	369
421	870	367
422	871	364
423	873	362
424	875	360
425	877	358
426	880	356
427	882	354
428	884	352
429	885	350
430	887	348
431	889	346
432	891	343
433	893	341
434	895	339
435	897	337
436	898	335
437	900	333
438	902	330
439	904	328
440	905	326
441	907	324
442	909	322
443	911	320
444	913	318
445	914	315
446	916	313
447	917	311
448	919	309
449	921	307
450	923	305
451	924	302
452	926	300
453	928	298
454	930	296
455	932	294
456	934	292
457	936	290
458	938	288
459	939	286
460	941	283
461	943	281
462	945	279
463	947	277
464	948	275
465	950	273
466	952	271
467	953	269
468	955	266
469	958	265
470	959	262
471	961	260
472	963	258
473	964	256
474	966	254
475	968	252
476	970	250
477	971	248
478	973	245
479	975	243
480	976	241
481	978	239
482	981	237
483	982	235
484	984	233
485	986	231
486	988	229
487	989	227
488	992	225
489	993	223
490	995	221
491	997	219
492	999	216
493	1001	214
494	1003	212
495	1008	211
496	1013	210
497	1016	208
498	1019	206
499	1023	204
500	1027	203
501	1030	201
502	1034	199
503	1036	197
504	1040	195
505	1044	194
506	1048	192
507	1051	190
