iter	Passed	Remaining
0	3	3681
1	6	3314
2	9	3288
3	12	3153
4	15	3070
5	18	2998
6	20	2934
7	23	2936
8	26	2935
9	29	2962
10	34	3085
11	40	3343
12	45	3483
13	48	3423
14	51	3388
15	55	3402
16	57	3352
17	61	3355
18	64	3320
19	66	3282
20	69	3258
21	75	3335
22	81	3442
23	85	3468
24	89	3504
25	96	3616
26	101	3670
27	106	3708
28	112	3768
29	118	3833
30	123	3875
31	128	3876
32	131	3842
33	135	3847
34	138	3805
35	140	3762
36	143	3729
37	146	3704
38	148	3667
39	151	3631
40	154	3609
41	157	3582
42	159	3554
43	162	3530
44	165	3504
45	167	3475
46	170	3449
47	172	3427
48	176	3423
49	179	3404
50	181	3385
51	185	3375
52	187	3354
53	190	3334
54	193	3326
55	196	3308
56	200	3319
57	203	3306
58	206	3289
59	209	3284
60	212	3272
61	215	3256
62	217	3242
63	220	3227
64	223	3213
65	226	3201
66	229	3189
67	231	3174
68	234	3160
69	237	3148
70	240	3141
71	242	3130
72	245	3117
73	248	3103
74	250	3092
75	253	3083
76	256	3072
77	259	3063
78	262	3065
79	266	3065
80	269	3056
81	272	3047
82	275	3042
83	278	3041
84	282	3042
85	285	3034
86	288	3028
87	291	3021
88	294	3013
89	296	3002
90	300	3000
91	303	2990
92	305	2983
93	308	2974
94	311	2966
95	313	2956
96	316	2946
97	319	2938
98	321	2929
99	324	2924
100	328	2919
101	331	2918
102	334	2910
103	336	2901
104	340	2899
105	343	2893
106	345	2886
107	348	2879
108	351	2876
109	354	2871
110	357	2862
111	360	2854
112	363	2850
113	366	2845
114	369	2846
115	372	2840
116	375	2835
117	378	2827
118	380	2820
119	384	2817
120	389	2828
121	394	2839
122	401	2862
123	408	2886
124	414	2904
125	419	2911
126	422	2903
127	425	2896
128	428	2891
129	431	2887
130	434	2880
131	436	2872
132	439	2864
133	445	2879
134	452	2896
135	456	2902
136	459	2894
137	462	2887
138	465	2880
139	468	2875
140	470	2869
141	473	2861
142	476	2854
143	479	2847
144	482	2842
145	484	2834
146	487	2827
147	490	2822
148	493	2817
149	496	2811
150	499	2806
151	501	2800
152	504	2794
153	507	2790
154	510	2783
155	513	2778
156	516	2772
157	519	2766
158	525	2778
159	529	2778
160	534	2786
161	537	2780
162	540	2775
163	543	2769
164	546	2763
165	548	2757
166	552	2754
167	558	2764
168	563	2769
169	567	2769
170	570	2765
171	573	2760
172	576	2754
173	580	2757
174	585	2762
175	590	2764
176	596	2773
177	601	2779
178	604	2773
179	607	2767
180	610	2761
181	613	2757
182	616	2751
183	619	2749
184	624	2751
185	627	2745
186	630	2740
187	634	2739
188	637	2737
189	640	2731
190	644	2729
191	647	2726
192	650	2719
193	653	2713
194	657	2713
195	660	2709
196	663	2703
197	666	2699
198	670	2697
199	675	2701
