Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Turbo
13328.000000000011,1398.9999999999998,LEXUS,Other,2010,Jeep,1,Hybrid,3.5,186005.0,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0
16621.0,1018.0000000000002,CHEVROLET,Other,2011,Jeep,0,Petrol,3.0,191999.99999999997,6.0,Tiptronic,4x4,4-5,Left wheel,Black,8,0
8467.000000000005,753.968181818182,HONDA,FIT,2006,Hatchback,0,Petrol,1.3,199999.99999999997,4.0,Variator,Front,4-5,Right-hand drive,Black,2,0
3606.9999999999986,861.9999999999998,FORD,Other,2011,Jeep,1,Hybrid,2.5,168966.00000000015,4.0,Automatic,4x4,4-5,Left wheel,White,0,0
11726.000000000007,446.00000000000017,HONDA,FIT,2014,Hatchback,1,Petrol,1.3,91901.00000000003,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0
39493.00000000004,891.0000000000002,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2.0,160930.99999999994,4.0,Automatic,Front,4-5,Left wheel,White,4,0
1802.999999999999,761.0000000000002,TOYOTA,Prius,2010,Hatchback,1,Hybrid,1.8,258908.9999999999,4.0,Automatic,Front,4-5,Left wheel,White,12,0
1097.9999999999998,394.00000000000006,TOYOTA,Camry,2014,Sedan,1,Hybrid,2.5,398069.00000000023,4.0,Automatic,Front,4-5,Left wheel,Black,12,0
26656.999999999978,1339.5731707317073,LEXUS,Other,2007,Jeep,1,Petrol,3.5,128500.00000000004,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0
941.0,1053.0000000000002,MERCEDES-BENZ,E 350,2014,Sedan,1,Diesel,3.5,184466.99999999988,6.0,Automatic,Rear,4-5,Left wheel,White,12,0
2999.9999999999995,1198.2500000000002,Other,Other,2000,Other,0,Other,1.6,349999.9999999997,4.0,Manual,Front,4-5,Left wheel,White,4,0
1018.9999999999998,1055.0,LEXUS,Other,2013,Jeep,1,Hybrid,3.5,138038.0,6.0,Automatic,Front,4-5,Left wheel,White,12,0
59463.99999999999,891.0000000000002,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2.0,76000.0,4.0,Automatic,Front,4-5,Left wheel,White,4,0
7682.999999999997,810.0000000000002,HYUNDAI,Elantra,2016,Sedan,1,Petrol,1.8,121840.00000000006,4.0,Automatic,Front,4-5,Left wheel,Blue,12,0
28381.99999999998,810.0000000000002,HYUNDAI,Elantra,2016,Sedan,1,Petrol,1.8,54316.99999999998,4.0,Automatic,Front,4-5,Left wheel,White,4,0
