,levy,manufacturer,year,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,turbo,price
0,1399.0,Lexus,2010,Jeep,1,Hybrid,3.5,186005,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0,13328
1,1018.0,Chevrolet,2011,Jeep,0,Petrol,3.0,192000,6.0,Tiptronic,4x4,4-5,Left wheel,Black,8,0,16621
3,862.0,Ford,2011,Jeep,1,Hybrid,2.5,168966,4.0,Automatic,4x4,4-5,Left wheel,White,0,0,3607
4,446.0,Honda,2014,Hatchback,1,Petrol,1.3,91901,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,11726
5,891.0,Hyundai,2016,Jeep,1,Diesel,2.0,160931,4.0,Automatic,Front,4-5,Left wheel,White,4,0,39493
6,761.0,Toyota,2010,Hatchback,1,Hybrid,1.8,258909,4.0,Automatic,Front,4-5,Left wheel,White,12,0,1803
7,751.0,Hyundai,2013,Sedan,1,Petrol,2.4,216118,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,549
10,1053.0,Mercedes-Benz,2014,Sedan,1,Diesel,3.5,184467,6.0,Automatic,Rear,4-5,Left wheel,White,12,0,941
13,1055.0,Lexus,2013,Jeep,1,Hybrid,3.5,138038,6.0,Automatic,Front,4-5,Left wheel,White,12,0,1019
15,1079.0,Toyota,2018,Jeep,1,Petrol,2.0,74146,4.0,Automatic,Front,4-5,Left wheel,White,12,0,549
16,810.0,Hyundai,2016,Sedan,1,Petrol,1.8,121840,4.0,Automatic,Front,4-5,Left wheel,Blue,12,0,7683
17,810.0,Hyundai,2016,Sedan,1,Petrol,1.8,54317,4.0,Automatic,Front,4-5,Left wheel,White,4,0,28382
20,531.0,Hyundai,2012,Sedan,1,Petrol,1.6,112645,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,18826
21,586.0,Toyota,2012,Sedan,1,Other,1.8,187000,4.0,Automatic,Front,4-5,Left wheel,White,12,0,20698
22,1249.0,Toyota,2017,Sedan,1,Petrol,2.5,39709,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,17562
28,583.0,Hyundai,2011,Sedan,1,Petrol,1.6,158787,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,14454
30,1288.0,Mercedes-Benz,2007,Other,0,Diesel,2.0,180000,6.0,Manual,Rear,4-5,Left wheel,White,4,1,15681
31,915.0,Other,2014,Jeep,1,Diesel,3.0,175056,6.0,Automatic,4x4,4-5,Left wheel,White,12,0,19444
